# Unixtime of reading, Heart Rate RPM
1667861807,61.000000
1667861808,61.000000
1667861809,61.000000
1667861810,61.000000
1667861811,60.000000
1667861812,60.000000
1667861813,59.000000
1667861814,58.000000
1667861815,58.000000
1667861816,58.000000
1667861817,56.000000
1667861818,55.000000
1667861819,55.000000
1667861820,55.000000
1667861821,55.000000
1667861822,55.000000
1667861823,55.000000
1667861824,56.000000
1667861825,57.000000
1667861826,58.000000
1667861827,59.000000
1667861828,59.000000
